מדינה,קליקים,הופעות,שיעור קליקים,מקום
ישראל,12,31,38.71%,4.58
פורטוגל,2,91,2.2%,8.81
יוון,1,4,25%,4
הולנד,1,2,50%,7.5
ברזיל,0,26,0%,18.23
צרפת,0,12,0%,5.42
ארצות הברית,0,9,0%,10
גאורגיה,0,5,0%,2.6
בלרוס,0,3,0%,6.33
בריטניה,0,3,0%,7.67
ספרד,0,3,0%,8.67
טאיוואן,0,3,0%,33.67
טורקיה,0,2,0%,25
שווייץ,0,1,0%,1
גרמניה,0,1,0%,1
פולין,0,1,0%,2
כוויית,0,1,0%,3
הודו,0,1,0%,5
מוזמביק,0,1,0%,5
קנדה,0,1,0%,6
איטליה,0,1,0%,7
אתיופיה,0,1,0%,11
ניו זילנד,0,1,0%,11
פקיסטן,0,1,0%,12
ערב הסעודית,0,1,0%,12
תאילנד,0,1,0%,16
אוסטרליה,0,1,0%,17
